Agendor Deal ID;Titulo;Empresa;Valor
42973265;Estrutel Construções Metálicas LTDA | Firewall Fortinet - Estoque;ESTRUTEL CONSTRUCOES METALICAS LTDA;18104.75
42035427;Lwart | Fortinet (2026);LWART SOLUCOES AMBIENTAIS LTDA;11384.36
42188838;Lwart Soluções Ambientais | Garantia Omnissa;LWART SOLUCOES AMBIENTAIS LTDA;71614.6
43364579;Lwart Soluções Ambientais | FORTINET( GARANTIA);LWART SOLUCOES AMBIENTAIS LTDA;37943.84
39250070;LWART - FORTINET (GARANTIAS);LWART SOLUCOES AMBIENTAIS LTDA;219061.32
41530374;UNIMED CAMPO MOURAO - PARK PLACE;UNIMED REGIONAL DE CAMPO MOURAO;10748.64
41530234;UNIMED CAMPO MOURAO (VEEAM GARANTIA);UNIMED REGIONAL DE CAMPO MOURAO;17877.45
38450245;TMG | PROPOSTA PARA IMPLEMENTAÇÃO DE UM NOVO FIREWALL;TMG - UNIDADE DE RONDONÓPOLIS;28000.0
25762632;UNIMED CAMPO MOURAO | FW E SERVIÇO DE IMPLEMENTAÇÃO DE REDE | FORTINET;UNIMED REGIONAL DE CAMPO MOURAO;195981.77
39216466;UNIMED REG CAMPO MOURAO;UNIMED REGIONAL DE CAMPO MOURAO;5180.0
37486769;LWART - FORTINEt_CENTRO DE COLETAS;LWART SOLUCOES AMBIENTAIS LTDA;70686.22
18865711;ICASA | TECH REFRESH DC | DELL;ICASA;1104302.23
37889431;ICASA - DELL (Cabos);ICASA;424.12
36506280;LWART - PARK PLACE;LWART SOLUCOES AMBIENTAIS LTDA;5519.1
33297569;LWART - VDI (2025-2026);LWART SOLUCOES AMBIENTAIS LTDA;76338.8
35521354;ZILOR - VEEAM  SÃO JOSE;ZILOR - UNIDADE  SÃO JOSE;8267.11
34505995;LWART - ARUBA;LWART SOLUCOES AMBIENTAIS LTDA;4670.49
32206948;ESTRUTEL | SERVIÇOS DE IMPLEMENTAÇÃO;ESTRUTEL CONSTRUCOES METALICAS LTDA;47500.0
27016044;UNIMED REGIONAL DE CAMPO MOURAO - VEEAM E DELL(GARANTIA);UNIMED REGIONAL DE CAMPO MOURAO;27495.65
24480454;TMG - DELL - TECH REFRESH PARA AMBIENTE VIRTUAL PARA 2 UNIDADES;TMG TROPICAL MELHORAMENTO E GENETICA S.A.;1679597.88
23039268;LWART - FORTINET (GARANTIA);LWART SOLUCOES AMBIENTAIS LTDA;125763.15
