agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,809672.68,809672.68,False,FABRICANTE
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,809672.68,158171.16,False,FABRICANTE+VALOR
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,158171.16,809672.68,False,FABRICANTE+VALOR
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,158171.16,158171.16,False,FABRICANTE
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,STORAGE DELL EMC,DELL EMC,Ingram Micro,STORAGE DELL EMC,DELL ,Ingram Micro,375662.96,375662.96,False,FABRICANTE
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,40000.0,40000.0,True,FABRICANTE
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,670993.36,670993.36,False,NOME_PRODUTO
42190122,Unaerp | FORTINET,86ahe4c38,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,210000.0,210000.0,True,FABRICANTE
44362046,Quinelato Freios - Park Place - Garantias,86ajxwkpe,PARK PLACE - GARANTIA,PARK PLACE,Park Place,(AUSENTE),,,28705.05,,False,PRODUTO_AUSENTE_NO_SUPABASE
44362046,Quinelato Freios - Park Place - Garantias,86ajxwkpe,(NÃO EXISTE NO AGENDOR),,,NETWORKING FORTINET,FORTINET,Ingram Micro,,222226.75,,PRODUTO_EXTRA_NO_SUPABASE
42973265,Estrutel Construções Metálicas LTDA | Firewall Fortinet - Estoque,86ahzm2an,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,6000.0,6000.0,True,FABRICANTE
24001502,UNIMED PIRACICABA - SSU E  Software REDCap na Oracle Cloud Infrastructure (OCI).,86ajxwm61,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,15000.0,15000.0,True,FABRICANTE
24001502,UNIMED PIRACICABA - SSU E  Software REDCap na Oracle Cloud Infrastructure (OCI).,86ajxwm61,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,15000.0,4800.0,True,FABRICANTE+VALOR
24001502,UNIMED PIRACICABA - SSU E  Software REDCap na Oracle Cloud Infrastructure (OCI).,86ajxwm61,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,4800.0,15000.0,True,FABRICANTE+VALOR
24001502,UNIMED PIRACICABA - SSU E  Software REDCap na Oracle Cloud Infrastructure (OCI).,86ajxwm61,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,4800.0,4800.0,True,FABRICANTE
42035427,Lwart | Fortinet (2026),86aha5x2u,,,,,,,,,,SEM_PROPOSTA_NO_SUPABASE
44214159,Unimed Bebedouro - Microsoft - SQL Server,86ajxx3by,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,111259.49,111259.49,False,NOME_PRODUTO
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,1109212.34,1109212.34,False,FABRICANTE
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,STORAGE DELL EMC,DELL EMC,Ingram Micro,STORAGE DELL EMC,DELL ,Ingram Micro,426405.03,426405.03,False,FABRICANTE
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,NETWORKING DELL EMC,DELL EMC,Ingram Micro,NETWORKING DELL EMC,DELL,Ingram Micro,4544.43,4544.43,False,FABRICANTE
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,65000.0,65000.0,True,FABRICANTE
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,11403.89,11403.89,False,NOME_PRODUTO
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,PARK PLACE - GARANTIA,PARK PLACE,Park Place,(AUSENTE),,,58399.53,,False,PRODUTO_AUSENTE_NO_SUPABASE
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,(NÃO EXISTE NO AGENDOR),,,SUPORTE POS  GARANTIA,PARK PLACE ,Ingram Micro,,58399.53,,PRODUTO_EXTRA_NO_SUPABASE
44143991,Unimed Volta Redonda |Dell (Garantias),86ajnb99f,POS GARANTIA DELL EMC,DELL EMC,Ingram Micro,POS GARANTIA DELL EMC,DELL,Ingram Micro,413618.9,413618.9,False,FABRICANTE
41840969,SUPRIMATICA CLOUD ABR/MAI/JUN,86ajxx3dk,CLOUD AZURE,MICROSOFT,Ingram Micro,CLOUD AZURE,AZURE,Ingram Micro,23.95,23.95,False,FABRICANTE
41854659,Quinelato Freios | Ambiente Firewall,86agbhgk2,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,12000.0,12000.0,True,FABRICANTE
43867356,SUPRIMATICA SERVIÇOS UNIFICADOS (SSU) - JUN -26,86ajxx3fa,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,184978.17,184978.17,True,FABRICANTE
43865465,SUPRIMATICA SERVIÇOS UNIFICADOS (SSU) - ABRIL - 26,86ajxx3fy,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,185660.17,185660.17,True,FABRICANTE
41915891,Unimed São Carlos - Estudo Expansão Ambiente VMware e Oracle,86agcey6v,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,517476.33,517476.33,False,FABRICANTE
