agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,809672.68,158171.16,False,VALOR
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,158171.16,809672.68,False,VALOR
42112468,Ferro Industrial | Estudo Techrefresh Datacenter,86age3jhy,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,670993.36,670993.36,False,NOME_PRODUTO
24001502,UNIMED PIRACICABA - SSU E  Software REDCap na Oracle Cloud Infrastructure (OCI).,86ajxwm61,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,15000.0,4800.0,True,VALOR
24001502,UNIMED PIRACICABA - SSU E  Software REDCap na Oracle Cloud Infrastructure (OCI).,86ajxwm61,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,4800.0,15000.0,True,VALOR
44214159,Unimed Bebedouro - Microsoft - SQL Server,86ajxx3by,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,111259.49,111259.49,False,NOME_PRODUTO
33245709,UNIMED COP | ESTUDO TECH REFRESH PARA DATA CENTER ATUAL | DELL - Microsoft - Aruba - Parkplace,86ajxx3cr,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,11403.89,11403.89,False,NOME_PRODUTO
41530000,UNIMED COP (GARANTIAS),86ajxx3p9,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,42674.93,42674.93,False,NOME_PRODUTO
38809187,FRIGOL | ESTUDO DE INFRA PARA NOVA UNIDADE,86ajxx3t8,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,81957.8,81957.8,False,NOME_PRODUTO
37527187,CENTRO MEDICO SOROCABA | NOVO STORAGE MAIS UPGRADE HYPER-V 3,86ajxx3ze,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,139798.18,139798.18,False,NOME_PRODUTO
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,73000.0,32200.0,False,VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,73000.0,97900.0,False,VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,32200.0,73000.0,False,VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,32200.0,97900.0,False,VALOR
