agendor_id,titulo,clickup_id,estagio,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,tipo_divergencia
42149614,Unimed Campo Mourão | Estudo de infra para novo Hospital,86agga7n7,NEGOCIAÇÃO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,639376.9,251752.51,VALOR
42149614,Unimed Campo Mourão | Estudo de infra para novo Hospital,86agga7n7,NEGOCIAÇÃO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,639376.9,429146.61,VALOR
42149614,Unimed Campo Mourão | Estudo de infra para novo Hospital,86agga7n7,NEGOCIAÇÃO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,251752.51,639376.9,VALOR
42149614,Unimed Campo Mourão | Estudo de infra para novo Hospital,86agga7n7,NEGOCIAÇÃO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,251752.51,429146.61,VALOR
42149614,Unimed Campo Mourão | Estudo de infra para novo Hospital,86agga7n7,NEGOCIAÇÃO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,429146.61,639376.9,VALOR
42149614,Unimed Campo Mourão | Estudo de infra para novo Hospital,86agga7n7,NEGOCIAÇÃO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,429146.61,251752.51,VALOR
41600734,TMG | Estudo Techrefresh ambiente de analise Genética,86agf39z7,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,1252577.34,215227.46,VALOR
41600734,TMG | Estudo Techrefresh ambiente de analise Genética,86agf39z7,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,215227.46,1252577.34,VALOR
42453397,Polo Equipamentos | Nova Infraestrutura para o Data Center,86ahmggyf,PROPOSTA,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,150967.07,141339.28,VALOR
42453397,Polo Equipamentos | Nova Infraestrutura para o Data Center,86ahmggyf,PROPOSTA,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,141339.28,150967.07,VALOR
42342158,Zilor | Estudo Techrefresh de Backup,86agrdw4j,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,297557.9,291261.12,VALOR
42342158,Zilor | Estudo Techrefresh de Backup,86agrdw4j,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,297557.9,154918.71,VALOR
42342158,Zilor | Estudo Techrefresh de Backup,86agrdw4j,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,291261.12,297557.9,VALOR
42342158,Zilor | Estudo Techrefresh de Backup,86agrdw4j,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,291261.12,154918.71,VALOR
42342158,Zilor | Estudo Techrefresh de Backup,86agrdw4j,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,154918.71,297557.9,VALOR
42342158,Zilor | Estudo Techrefresh de Backup,86agrdw4j,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,154918.71,291261.12,VALOR
41567399,Cestari | Estudo de Techrefresh para o datacenter,86agxv5tr,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,386466.18,113079.18,VALOR
41567399,Cestari | Estudo de Techrefresh para o datacenter,86agxv5tr,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,386466.18,180061.8,VALOR
41567399,Cestari | Estudo de Techrefresh para o datacenter,86agxv5tr,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,113079.18,386466.18,VALOR
41567399,Cestari | Estudo de Techrefresh para o datacenter,86agxv5tr,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,113079.18,180061.8,VALOR
41567399,Cestari | Estudo de Techrefresh para o datacenter,86agxv5tr,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,180061.8,386466.18,VALOR
41567399,Cestari | Estudo de Techrefresh para o datacenter,86agxv5tr,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,180061.8,113079.18,VALOR
41915958,Unimed Norte Paulista - Estudo de Techrefresh Datacenter,86agbnnzj,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,572305.18,226777.34,VALOR
41915958,Unimed Norte Paulista - Estudo de Techrefresh Datacenter,86agbnnzj,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,226777.34,572305.18,VALOR
41916234,Newdrop | Tech Refresh,86agrdh5v,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,514100.32,375065.8,VALOR
41916234,Newdrop | Tech Refresh,86agrdh5v,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,514100.32,204630.9,VALOR
41916234,Newdrop | Tech Refresh,86agrdh5v,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,375065.8,514100.32,VALOR
41916234,Newdrop | Tech Refresh,86agrdh5v,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,375065.8,204630.9,VALOR
41916234,Newdrop | Tech Refresh,86agrdh5v,DESENVOLVIMENTO,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,204630.9,514100.32,VALOR
